email,first_name,last_name,remaining_goal_amount
calogero.cross@mercantini.it,Calogero,Cross,153288
lauretta.neal@hotmail.de,Lauretta,Neal,151747
chantal.armas@jenkins.net,Chantal,Armas,98164
ariadna.geisel@rangel.com,Ariadna,Geisel,88154
mathilde.kruschwitz@yahoo.com,Mathilde,Kruschwitz,72323
guillermina.nicholson@grondin.fr,Guillermina,Nicholson,71872
henry.gucci@leleu.fr,Henry,Gucci,41198
gabriela.padilla@pearson-russell.com,Gabriela,Padilla,40291
svenja.perrin@berger.com,Svenja,Perrin,8362
caroline.reeves@yahoo.com,Caroline,Reeves,3768
katarina.clarke@hotmail.com.au,Katarina,Clarke,3739
imelda.guerin@stumpf.net,Imelda,Guerin,1559
danny.farrell@hotmail.com,Danny,Farrell,1503
tobias.carbajal@live.com,Tobias,Carbajal,426
